
═══ 커리어 흐름별 콘텐츠 ═══════════════════════════════════

### 전체 공용 (어느 무대에서나)  —  17종

  상시       [랜덤] 휴식일                       선택 2
  상시       [조건] 흐름을 탔다                    알림
  상시       [조건] 흔들리는 자신감                  선택 2
  상시       [랜덤] SNS 게시                    선택 2
  상시       [조건] SNS 반응                    선택 2

### 프로 초기  —  10종

  W14~     [조건] 내려간다는 이야기                 선택 2
  W8~      [조건] 루틴을 만든다                   선택 3
  W12~     [조건] 선배가 자리를 내준다               선택 2
  상시       [조건] 신인 특집                     선택 3
  W24~     [조건] 신인의 벽                     선택 2
  상시       [조건] 이사                        알림
  상시       [조건] 장비 교체                     알림
  W40~     [조건] 첫 연봉 협상                   선택 3
  상시       [조건] 첫 완투                      선택 3
  W10~     [조건] 첫 프로 월급                   선택 2

### 프로 중기  —  15종

  상시       [조건] 3년차의 자리                   알림
  상시       [조건] 개인 트레이너                   선택 2
  상시       [조건] 돈이 늘었다                    선택 3
  상시       [조건] 라커룸의 목소리                  선택 2
  상시       [조건] 몸이 제일 좋을 때                선택 4
  상시       [랜덤] 신인 신고식                    선택 3
  상시       [조건] 신인의 질문                    선택 2
  상시       [랜덤] 어린 투수                     선택 2
  상시       [조건] 옛 동료                      알림
  W42~     [조건] 옵션 조항                     알림
  W26~38   [조건] 이름이 오르내린다                 선택 4
  상시       [조건] 자리를 굳힌다                   선택 3
  W16~     [조건] 후배에게 밀린다                  선택 4
  W42~     [조건] FA 시장 이야기                 알림
  상시       [조건] FA가 보인다                   선택 2

### 프로 말기  —  9종

  W8~      [조건] 가르치는 자리                   선택 2
  상시       [조건] 관리에 드는 돈                  선택 2
  W20~     [조건] 라이벌이 그만둔다                 선택 2
  상시       [조건] 베테랑                       선택 2
  W10~     [조건] 보직이 바뀐다                   선택 2
  W30~     [조건] 언제까지 할 건가                 선택 3
  상시       [조건] 예전 같지 않다                  선택 2
  W12~     [조건] 예전 공이 안 나온다               선택 3
  상시       [조건] 프로 10년                    알림


══ 2군 (KBL·ABL·JBL 공유) ══

### 2군  —  40종

  W2~      [조건] 2군으로                      선택 2
  W3       [필수] 2군 캠프                     선택 2
  W8       [필수] 2군 개막                     선택 2
  W10~     [조건] 빈 관중석                     알림
  W10~     [조건] 재활 선수                     선택 2
  W12~40   [조건] 2군 원정                     선택 2
  W14      [필수] 월간 보고                     선택 2
  W16~     [조건] 2군 연봉                     선택 2
  W16~     [조건] 동료의 콜업                    선택 2
  W20~     [조건] 다른 사람이 올라갔다               선택 2
  W22      [필수] 중간 콜업 시기                  선택 2
  W30~     [조건] 트레이드 이야기                  선택 2
  W36      [필수] 2군 막바지                    선택 2
  W38~     [조건] 2군 포스트시즌                  선택 2
  W42      [필수] 2군 시즌 종료                  알림
  W46      [필수] 로스터 재검토                   선택 2
  W50      [필수] 2군의 겨울                    선택 2
  상시       [랜덤] 1군 중계                     선택 2
  상시       [조건] 2군 기록                     선택 2
  상시       [랜덤] 2군 기록실                    알림
  상시       [랜덤] 2군 소식                     알림
  상시       [조건] 2군 시설                     선택 2
  상시       [랜덤] 2군 심판                     알림
  상시       [조건] 2군에서는 압도적                 선택 2
  상시       [조건] 2군에서도 안 된다                선택 2
  상시       [조건] 가족의 물음                    선택 2
  상시       [조건] 감각을 찾았다                   선택 2
  상시       [랜덤] 늦은 식사                     선택 2
  상시       [랜덤] 룸메이트                      선택 2
  상시       [조건] 많은 이닝                     선택 2
  상시       [조건] 방출 위험                     선택 2
  상시       [랜덤] 사이드 피칭                    선택 2
  상시       [랜덤] 야간 자율 훈련                  선택 2
  상시       [조건] 여기서 끝인가                   선택 2
  상시       [조건] 유망주가 왔다                   선택 2
  상시       [랜덤] 장비 공유                     선택 2
  상시       [조건] 첫 콜업을 앞두고                 선택 2
  상시       [조건] 코치의 관심                    선택 2
  상시       [조건] 콜업이 가깝다                   선택 2
  상시       [랜덤] 타팀 스카우트                   알림


══ 해외 (ABL·JBL) ══

### 해외 전용 — 첫해  —  9종

  W16~     [조건] 겸업 선수                     선택 4
  W10~     [조건] 낯선 함성                     선택 3
  ~W4      [조건] 도착                        선택 2
  W20~     [조건] 돌아갈까                      선택 5
  W6~      [조건] 말이 안 통한다                  선택 6
  W14~     [조건] 시차                        선택 3
  상시       [조건] 입에 안 맞는다                  선택 2
  W8~      [조건] 존이 다르다                    선택 5
  W10~     [조건] 짧은 시즌                     선택 5

### 해외 전용 — 정착 뒤  —  4종

  W30~     [조건] 국내 복귀 제안                  선택 3
  상시       [조건] 이제 익숙하다                   선택 4
  상시       [조건] 현지 유망주                    선택 2
  상시       [조건] 현지 팬                      선택 2

### 프로 공용이 해외에도 뜨는 것  —  76종

  W8~      [조건] 가르치는 자리                   선택 2
  상시       [랜덤] 경기 후 식사                   선택 3
  상시       [조건] 관리에 드는 돈                  선택 2
  상시       [랜덤] 관중석의 스카우트                 알림
  상시       [랜덤] 광고 제안                     선택 2
  상시       [랜덤] 그라운드 관리인                  알림
  상시       [랜덤] 기록 기사                     알림
  상시       [랜덤] 기록 예고 기사                  알림
  상시       [랜덤] 기자회견                      선택 3
  W14~     [조건] 내려간다는 이야기                 선택 2
  상시       [랜덤] 냉욕                        선택 2
  상시       [랜덤] 다큐 촬영                     선택 2
  W6~12    [랜덤] 단체 사진                     선택 2
  상시       [조건] 돈이 늘었다                    선택 3
  W46~     [랜덤] 등번호                       선택 2
  상시       [랜덤] 라디오 출연                    선택 2
  W20~     [조건] 라이벌이 그만둔다                 선택 2
  상시       [랜덤] 라커 정리                     알림
  상시       [랜덤] 라커룸 게임                    선택 3
  상시       [조건] 라커룸의 목소리                  선택 2
  상시       [랜덤] 로테이션 조정                   알림
  W8~      [조건] 루틴을 만든다                   선택 3
  상시       [랜덤] 마사지                       선택 2
  상시       [랜덤] 마운드 방문                    선택 2
  상시       [조건] 몸이 제일 좋을 때                선택 4
  상시       [랜덤] 배트보이                      선택 2
  W10~     [조건] 보직이 바뀐다                   선택 2
  상시       [랜덤] 불펜 대기                     선택 2
  W44~     [랜덤] 비시즌 기사                    알림
  상시       [랜덤] 비판 칼럼                     선택 2
  상시       [랜덤] 사이드 피칭                    선택 2
  상시       [랜덤] 상대 선수의 말                  선택 2
  W20~     [랜덤] 새 동료                      선택 2
  W12~     [조건] 선배가 자리를 내준다               선택 2
  상시       [랜덤] 선배의 조언                    선택 3
  상시       [랜덤] 수비 훈련                     선택 2
  W20~     [랜덤] 시즌권 팬                     선택 2
  상시       [랜덤] 식단 관리                     선택 2
  상시       [랜덤] 신인 신고식                    선택 3
  상시       [조건] 신인 특집                     선택 3
  상시       [랜덤] 심판 존                      선택 2
  상시       [랜덤] 어린 투수                     선택 2
  W30~     [조건] 언제까지 할 건가                 선택 3
  W12~     [조건] 예전 공이 안 나온다               선택 3
  상시       [랜덤] 온라인 랭킹                    알림
  상시       [랜덤] 우천 지연                     선택 2
  상시       [랜덤] 원정 버스                     알림
  상시       [랜덤] 원정 숙소의 밤                  선택 2
  상시       [랜덤] 원정 야유                     선택 2
  상시       [랜덤] 웨이트룸                      선택 2
  상시       [랜덤] 유소년 매체                    선택 2
  상시       [랜덤] 이동 지연                     알림
  W26~38   [조건] 이름이 오르내린다                 선택 4
  상시       [조건] 자리를 굳힌다                   선택 3
  상시       [랜덤] 잠이 안 온다                   선택 2
  상시       [랜덤] 장비 점검                     선택 2
  상시       [랜덤] 중계 마이크                    선택 2
  상시       [랜덤] 지역지 인터뷰                   선택 2
  W40~     [조건] 첫 연봉 협상                   선택 3
  상시       [조건] 첫 완투                      선택 3
  상시       [랜덤] 치료실                       선택 2
  상시       [랜덤] 칼럼                        알림
  ~W6      [랜덤] 캠프 취재                     알림
  상시       [랜덤] 코치와의 잡담                   선택 2
  상시       [랜덤] 타격 훈련 구경                  선택 3
  상시       [랜덤] 투구 시간 제한                  알림
  상시       [랜덤] 팀 미팅                      선택 2
  상시       [랜덤] 패전 후 인터뷰                  선택 2
  상시       [랜덤] 포수와 식사                    선택 2
  상시       [랜덤] 하이라이트                     알림
  W10~     [랜덤] 홈 만원 관중                   알림
  상시       [랜덤] 화보 촬영                     선택 2
  상시       [랜덤] 회식                        선택 2
  W16~     [조건] 후배에게 밀린다                  선택 4
  상시       [랜덤] 휴식일                       선택 2
  상시       [랜덤] SNS 게시                    선택 2

